ModuleName,Layer,TargetSkill,SecondarySkill,RouteConfidence,RouteReason,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
CrashDebugHelper,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,crashdebughelper|unreal|module|crash,email|translation|copywriting,Developer\CrashDebugHelper\CrashDebugHelper.Build.cs
CSVUtils,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,csvutils|unreal|module,email|translation|copywriting,Developer\CSVUtils\CSVUtils.build.cs
DatasmithExporter,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,datasmithexporter|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithExporter\DatasmithExporter.Build.cs
DatasmithExporterUI,Developer,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping,datasmithexporterui|ui|umg|slate,email|translation|copywriting,Developer\Datasmith\DatasmithExporterUI\DatasmithExporterUI.Build.cs
DatasmithFacade,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,datasmithfacade|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithFacade\DatasmithFacade.Build.cs
DerivedDataCache,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,deriveddatacache|unreal|module|derived,email|translation|copywriting,Developer\DerivedDataCache\DerivedDataCache.Build.cs
DesktopPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,desktopplatform|unreal|module|desktop,email|translation|copywriting,Developer\DesktopPlatform\DesktopPlatform.Build.cs
DesktopWidgets,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,desktopwidgets|unreal|module|desktop,email|translation|copywriting,Developer\DesktopWidgets\DesktopWidgets.Build.cs
DeveloperToolSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,developertoolsettings|unreal|module|tool,email|translation|copywriting,Developer\DeveloperToolSettings\DeveloperToolSettings.Build.cs
DevHttp,Developer,ue5-save-load-replication,ue5-cpp-gameplay,medium,domain_mapping,devhttp|network|online|replication,email|translation|copywriting,Developer\DevHttp\DevHttp.Build.cs
DeviceManager,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,devicemanager|unreal|module|device,email|translation|copywriting,Developer\DeviceManager\DeviceManager.Build.cs
DirectoryWatcher,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,directorywatcher|unreal|module|directory,email|translation|copywriting,Developer\DirectoryWatcher\DirectoryWatcher.Build.cs
DistributedBuildInterface,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,distributedbuildinterface|unreal|module|distributed,email|translation|copywriting,Developer\DistributedBuildInterface\DistributedBuildInterface.build.cs
DrawPrimitiveDebugger,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,drawprimitivedebugger|unreal|module|draw,email|translation|copywriting,Developer\DrawPrimitiveDebugger\DrawPrimitiveDebugger.Build.cs
EditorAnalyticsSession,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,editoranalyticssession|unreal|module|analytics,email|translation|copywriting,Developer\EditorAnalyticsSession\EditorAnalyticsSession.Build.cs
ExternalImagePicker,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,externalimagepicker|unreal|module|external,email|translation|copywriting,Developer\ExternalImagePicker\ExternalImagePicker.Build.cs
FileUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,fileutilities|unreal|module|file,email|translation|copywriting,Developer\FileUtilities\FileUtilities.Build.cs
FunctionalTesting,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,functionaltesting|unreal|module|functional,email|translation|copywriting,Developer\FunctionalTesting\FunctionalTesting.Build.cs
GDKPlatformEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,gdkplatformeditor|unreal|module|gdkplatform,email|translation|copywriting,Developer\Microsoft\GDKPlatformEditor\GDKPlatformEditor.Build.cs
GeometryProcessingInterfaces,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,geometryprocessinginterfaces|unreal|module|geometry,email|translation|copywriting,Developer\GeometryProcessingInterfaces\GeometryProcessingInterfaces.Build.cs
GraphColor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,graphcolor|unreal|module|graph,email|translation|copywriting,Developer\GraphColor\GraphColor.Build.cs
HierarchicalLODUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,hierarchicallodutilities|unreal|module|hierarchical,email|translation|copywriting,Developer\HierarchicalLODUtilities\HierarchicalLODUtilities.Build.cs
HlslParser,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,hlslparser|unreal|module|hlsl,email|translation|copywriting,Developer\HlslParser\HlslParser.Build.cs
Horde,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,horde|unreal|module,email|translation|copywriting,Developer\Horde\Horde.Build.cs
HotReload,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,hotreload|unreal|module|hot,email|translation|copywriting,Developer\HotReload\HotReload.Build.cs
IOSPlatformEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iosplatformeditor|unreal|module|iosplatform,email|translation|copywriting,Developer\IOS\IOSPlatformEditor\IOSPlatformEditor.Build.cs
IOSTargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iostargetplatform|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatform\IOSTargetPlatform.Build.cs
IOSTargetPlatformControls,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iostargetplatformcontrols|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformControls\IOSTargetPlatformControls.Build.cs
IOSTargetPlatformSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iostargetplatformsettings|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformSettings\IOSTargetPlatformSettings.Build.cs
IoStoreOnDemandUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iostoreondemandutilities|unreal|module|store,email|translation|copywriting,Developer\IoStore\OnDemandUtilities\IoStoreOnDemandUtilities.Build.cs
IoStoreUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,iostoreutilities|unreal|module|store,email|translation|copywriting,Developer\IoStoreUtilities\IoStoreUtilities.Build.cs
LauncherServices,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,launcherservices|unreal|module|launcher,email|translation|copywriting,Developer\LauncherServices\LauncherServices.Build.cs
LegacyProjectLauncher,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,legacyprojectlauncher|unreal|module|legacy,email|translation|copywriting,Developer\LegacyProjectLauncher\LegacyProjectLauncher.Build.cs
LinuxArm64TargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxarm64targetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatform\LinuxArm64TargetPlatform.Build.cs
LinuxArm64TargetPlatformControls,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxarm64targetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformControls\LinuxArm64TargetPlatformControls.Build.cs
LinuxArm64TargetPlatformSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxarm64targetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformSettings\LinuxArm64TargetPlatformSettings.Build.cs
LinuxPlatformEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxplatformeditor|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxPlatformEditor\LinuxPlatformEditor.Build.cs
LinuxTargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxtargetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatform\LinuxTargetPlatform.Build.cs
LinuxTargetPlatformControls,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxtargetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformControls\LinuxTargetPlatformControls.Build.cs
LinuxTargetPlatformSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,linuxtargetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformSettings\LinuxTargetPlatformSettings.Build.cs
LiveCoding,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,livecoding|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCoding\LiveCoding.Build.cs
LiveCodingServer,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,livecodingserver|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCodingServer\LiveCodingServer.Build.cs
Localization,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,localization|unreal|module,email|translation|copywriting,Developer\Localization\Localization.Build.cs
LocalizationService,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,localizationservice|unreal|module|localization,email|translation|copywriting,Developer\LocalizationService\LocalizationService.Build.cs
LogVisualizer,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,logvisualizer|unreal|module|log,email|translation|copywriting,Developer\LogVisualizer\LogVisualizer.Build.cs
LowLevelTestsRunner,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,lowleveltestsrunner|unreal|module|low,email|translation|copywriting,Developer\LowLevelTestsRunner\LowLevelTestsRunner.Build.cs
MacPlatformEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,macplatformeditor|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacPlatformEditor\MacPlatformEditor.Build.cs
MacTargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,mactargetplatform|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatform\MacTargetPlatform.Build.cs
MacTargetPlatformControls,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,mactargetplatformcontrols|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformControls\MacTargetPlatformControls.Build.cs
MacTargetPlatformSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,mactargetplatformsettings|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformSettings\MacTargetPlatformSettings.Build.cs
MassEntityTestSuite,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,massentitytestsuite|ai|nav|mass,email|translation|copywriting,Developer\MassEntityTestSuite\MassEntityTestSuite.Build.cs
MaterialBaking,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,materialbaking|render|shader|rhi,email|translation|copywriting,Developer\MaterialBaking\MaterialBaking.Build.cs
MaterialUtilities,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,materialutilities|render|shader|rhi,email|translation|copywriting,Developer\MaterialUtilities\MaterialUtilities.Build.cs
Merge,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,merge|unreal|module,email|translation|copywriting,Developer\Merge\Merge.Build.cs
MeshBoneReduction,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshbonereduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshBoneReduction\MeshBoneReduction.Build.cs
MeshBuilder,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshbuilder|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilder\MeshBuilder.Build.cs
MeshBuilderCommon,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshbuildercommon|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilderCommon\MeshBuilderCommon.Build.cs
MeshDescriptionOperations,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshdescriptionoperations|unreal|module|mesh,email|translation|copywriting,Developer\MeshDescriptionOperations\MeshDescriptionOperations.Build.cs
MeshMergeUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshmergeutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshMergeUtilities\MeshMergeUtilities.Build.cs
MeshReductionInterface,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshreductioninterface|unreal|module|mesh,email|translation|copywriting,Developer\MeshReductionInterface\MeshReductionInterface.Build.cs
MeshUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshUtilities\MeshUtilities.Build.cs
MeshUtilitiesEngine,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,meshutilitiesengine|core|engine|uobject,email|translation|copywriting,Developer\MeshUtilitiesEngine\MeshUtilitiesEngine.Build.cs
MessageLog,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,messagelog|unreal|module|message,email|translation|copywriting,Developer\MessageLog\MessageLog.Build.cs
MetalShaderFormat,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,metalshaderformat|render|shader|rhi,email|translation|copywriting,Developer\Apple\MetalShaderFormat\MetalShaderFormat.Build.cs
NaniteBuilder,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,nanitebuilder|render|shader|rhi,email|translation|copywriting,Developer\NaniteBuilder\NaniteBuilder.Build.cs
NaniteUtilities,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,naniteutilities|render|shader|rhi,email|translation|copywriting,Developer\NaniteUtilities\NaniteUtilities.Build.cs
OutputLog,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,outputlog|unreal|module|output,email|translation|copywriting,Developer\OutputLog\OutputLog.Build.cs
PakFileUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,pakfileutilities|unreal|module|pak,email|translation|copywriting,Developer\PakFileUtilities\PakFileUtilities.Build.cs
PhysicsUtilities,Developer,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping,physicsutilities|physics|chaos|collision,email|translation|copywriting,Developer\PhysicsUtilities\PhysicsUtilities.Build.cs
ProfileVisualizer,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,profilevisualizer|unreal|module|profile,email|translation|copywriting,Developer\ProfileVisualizer\ProfileVisualizer.Build.cs
QuadricMeshReduction,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,quadricmeshreduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshSimplifier\QuadricMeshReduction.Build.cs
S3Client,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,s3client|unreal|module|client,email|translation|copywriting,Developer\S3Client\S3Client.Build.cs
ScreenShotComparison,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,screenshotcomparison|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparison\ScreenShotComparison.Build.cs
ScreenShotComparisonTools,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,screenshotcomparisontools|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparisonTools\ScreenShotComparisonTools.Build.cs
ScriptDisassembler,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,scriptdisassembler|unreal|module|script,email|translation|copywriting,Developer\ScriptDisassembler\ScriptDisassembler.Build.cs
SessionFrontend,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sessionfrontend|unreal|module|session,email|translation|copywriting,Developer\SessionFrontend\SessionFrontend.Build.cs
Settings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,settings|unreal|module,email|translation|copywriting,Developer\Settings\Settings.Build.cs
SettingsEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,settingseditor|unreal|module|settings,email|translation|copywriting,Developer\SettingsEditor\SettingsEditor.Build.cs
ShaderCompilerCommon,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shadercompilercommon|render|shader|rhi,email|translation|copywriting,Developer\ShaderCompilerCommon\ShaderCompilerCommon.Build.cs
ShaderFormatD3D,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shaderformatd3d|render|shader|rhi,email|translation|copywriting,Developer\Windows\ShaderFormatD3D\ShaderFormatD3D.Build.cs
ShaderFormatOpenGL,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shaderformatopengl|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatOpenGL\ShaderFormatOpenGL.Build.cs
ShaderFormatVectorVM,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shaderformatvectorvm|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatVectorVM\ShaderFormatVectorVM.Build.cs
ShaderPlatformConfigEditor,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shaderplatformconfigeditor|render|shader|rhi,email|translation|copywriting,Developer\ShaderPlatformConfigEditor\ShaderPlatformConfigEditor.Build.cs
ShaderPreprocessor,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,shaderpreprocessor|render|shader|rhi,email|translation|copywriting,Developer\ShaderPreprocessor\ShaderPreprocessor.Build.cs
SharedSettingsWidgets,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sharedsettingswidgets|unreal|module|shared,email|translation|copywriting,Developer\SharedSettingsWidgets\SharedSettingsWidgets.Build.cs
SkeletalMeshUtilitiesCommon,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,skeletalmeshutilitiescommon|animation|skeletal|rig,email|translation|copywriting,Developer\SkeletalMeshUtilitiesCommon\SkeletalMeshUtilitiesCommon.Build.cs
SlackIntegrations,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,slackintegrations|unreal|module|slack,email|translation|copywriting,Developer\SlackIntegrations\SlackIntegrations.Build.cs
SlateFileDialogs,Developer,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping,slatefiledialogs|ui|umg|slate,email|translation|copywriting,Developer\SlateFileDialogs\SlateFileDialogs.Build.cs
SlateFontDialog,Developer,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping,slatefontdialog|ui|umg|slate,email|translation|copywriting,Developer\SlateFontDialog\SlateFontDialog.Build.cs
SlateReflector,Developer,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping,slatereflector|ui|umg|slate,email|translation|copywriting,Developer\SlateReflector\SlateReflector.Build.cs
SourceCodeAccess,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sourcecodeaccess|unreal|module|code,email|translation|copywriting,Developer\SourceCodeAccess\SourceCodeAccess.Build.cs
SourceControl,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sourcecontrol|unreal|module|control,email|translation|copywriting,Developer\SourceControl\SourceControl.Build.cs
SourceControlCheckInPrompt,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sourcecontrolcheckinprompt|unreal|module|control,email|translation|copywriting,Developer\SourceControlCheckInPrompt\SourceControlCheckInPrompt.Build.cs
SourceControlViewport,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,sourcecontrolviewport|unreal|module|control,email|translation|copywriting,Developer\SourceControlViewport\SourceControlViewport.Build.cs
StandaloneRenderer,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,standalonerenderer|render|shader|rhi,email|translation|copywriting,Developer\StandaloneRenderer\StandaloneRenderer.Build.cs
StructUtilsTestSuite,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,structutilstestsuite|unreal|module|struct,email|translation|copywriting,Developer\StructUtilsTestSuite\StructUtilsTestSuite.Build.cs
SubmitToolCore,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,submittoolcore|core|engine|uobject,email|translation|copywriting,Developer\SubmitToolCore\SubmitToolCore.Build.cs
TargetDeviceServices,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,targetdeviceservices|unreal|module|target,email|translation|copywriting,Developer\TargetDeviceServices\TargetDeviceServices.Build.cs
TargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,targetplatform|unreal|module|target,email|translation|copywriting,Developer\TargetPlatform\TargetPlatform.Build.cs
TextureBuild,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,texturebuild|unreal|module|texture,email|translation|copywriting,Developer\TextureBuild\TextureBuild.Build.cs
TextureBuildUtilities,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,texturebuildutilities|unreal|module|texture,email|translation|copywriting,Developer\TextureBuildUtilities\TextureBuildUtilities.Build.cs
TextureCompressor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,texturecompressor|unreal|module|texture,email|translation|copywriting,Developer\TextureCompressor\TextureCompressor.Build.cs
TextureFormat,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,textureformat|unreal|module|texture,email|translation|copywriting,Developer\TextureFormat\TextureFormat.Build.cs
TextureFormatASTC,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,textureformatastc|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatASTC\TextureFormatASTC.Build.cs
TextureFormatDXT,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,textureformatdxt|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatDXT\TextureFormatDXT.Build.cs
TextureFormatETC2,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,textureformatetc2|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatETC2\TextureFormatETC2.Build.cs
TextureFormatIntelISPCTexComp,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,textureformatintelispctexcomp|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatIntelISPCTexComp\TextureFormatIntelISPCTexComp.Build.cs
