ModuleName,Layer,TargetSkill,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
LinuxTargetPlatformSettings,Developer,ue5-architecture,linuxtargetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformSettings\LinuxTargetPlatformSettings.Build.cs
LiveCoding,Developer,ue5-architecture,livecoding|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCoding\LiveCoding.Build.cs
LiveCodingServer,Developer,ue5-architecture,livecodingserver|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCodingServer\LiveCodingServer.Build.cs
Localization,Developer,ue5-architecture,localization|unreal|module,email|translation|copywriting,Developer\Localization\Localization.Build.cs
LocalizationService,Developer,ue5-architecture,localizationservice|unreal|module|localization,email|translation|copywriting,Developer\LocalizationService\LocalizationService.Build.cs
LogVisualizer,Developer,ue5-architecture,logvisualizer|unreal|module|log,email|translation|copywriting,Developer\LogVisualizer\LogVisualizer.Build.cs
LowLevelTestsRunner,Developer,ue5-architecture,lowleveltestsrunner|unreal|module|low,email|translation|copywriting,Developer\LowLevelTestsRunner\LowLevelTestsRunner.Build.cs
MacPlatformEditor,Developer,ue5-architecture,macplatformeditor|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacPlatformEditor\MacPlatformEditor.Build.cs
MacTargetPlatform,Developer,ue5-architecture,mactargetplatform|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatform\MacTargetPlatform.Build.cs
MacTargetPlatformControls,Developer,ue5-architecture,mactargetplatformcontrols|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformControls\MacTargetPlatformControls.Build.cs
MacTargetPlatformSettings,Developer,ue5-architecture,mactargetplatformsettings|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformSettings\MacTargetPlatformSettings.Build.cs
MassEntityTestSuite,Developer,ue5-cpp-gameplay,massentitytestsuite|ai|nav|mass,email|translation|copywriting,Developer\MassEntityTestSuite\MassEntityTestSuite.Build.cs
MaterialBaking,Developer,ue5-performance-packaging,materialbaking|render|shader|rhi,email|translation|copywriting,Developer\MaterialBaking\MaterialBaking.Build.cs
MaterialUtilities,Developer,ue5-performance-packaging,materialutilities|render|shader|rhi,email|translation|copywriting,Developer\MaterialUtilities\MaterialUtilities.Build.cs
Merge,Developer,ue5-architecture,merge|unreal|module,email|translation|copywriting,Developer\Merge\Merge.Build.cs
MeshBoneReduction,Developer,ue5-architecture,meshbonereduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshBoneReduction\MeshBoneReduction.Build.cs
MeshBuilder,Developer,ue5-architecture,meshbuilder|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilder\MeshBuilder.Build.cs
MeshBuilderCommon,Developer,ue5-architecture,meshbuildercommon|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilderCommon\MeshBuilderCommon.Build.cs
MeshDescriptionOperations,Developer,ue5-architecture,meshdescriptionoperations|unreal|module|mesh,email|translation|copywriting,Developer\MeshDescriptionOperations\MeshDescriptionOperations.Build.cs
MeshMergeUtilities,Developer,ue5-architecture,meshmergeutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshMergeUtilities\MeshMergeUtilities.Build.cs
MeshReductionInterface,Developer,ue5-architecture,meshreductioninterface|unreal|module|mesh,email|translation|copywriting,Developer\MeshReductionInterface\MeshReductionInterface.Build.cs
MeshUtilities,Developer,ue5-architecture,meshutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshUtilities\MeshUtilities.Build.cs
MeshUtilitiesEngine,Developer,ue5-architecture,meshutilitiesengine|core|engine|uobject,email|translation|copywriting,Developer\MeshUtilitiesEngine\MeshUtilitiesEngine.Build.cs
MessageLog,Developer,ue5-architecture,messagelog|unreal|module|message,email|translation|copywriting,Developer\MessageLog\MessageLog.Build.cs
MetalShaderFormat,Developer,ue5-performance-packaging,metalshaderformat|render|shader|rhi,email|translation|copywriting,Developer\Apple\MetalShaderFormat\MetalShaderFormat.Build.cs
NaniteBuilder,Developer,ue5-performance-packaging,nanitebuilder|render|shader|rhi,email|translation|copywriting,Developer\NaniteBuilder\NaniteBuilder.Build.cs
NaniteUtilities,Developer,ue5-performance-packaging,naniteutilities|render|shader|rhi,email|translation|copywriting,Developer\NaniteUtilities\NaniteUtilities.Build.cs
OutputLog,Developer,ue5-architecture,outputlog|unreal|module|output,email|translation|copywriting,Developer\OutputLog\OutputLog.Build.cs
PakFileUtilities,Developer,ue5-architecture,pakfileutilities|unreal|module|pak,email|translation|copywriting,Developer\PakFileUtilities\PakFileUtilities.Build.cs
PhysicsUtilities,Developer,ue5-world-interaction,physicsutilities|physics|chaos|collision,email|translation|copywriting,Developer\PhysicsUtilities\PhysicsUtilities.Build.cs
Profiler,Developer,ue5-architecture,profiler|unreal|module,email|translation|copywriting,Developer\Profiler\Profiler.Build.cs
ProfilerClient,Developer,ue5-architecture,profilerclient|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerClient\ProfilerClient.Build.cs
ProfilerMessages,Developer,ue5-architecture,profilermessages|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerMessages\ProfilerMessages.Build.cs
ProfilerService,Developer,ue5-architecture,profilerservice|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerService\ProfilerService.Build.cs
ProfileVisualizer,Developer,ue5-architecture,profilevisualizer|unreal|module|profile,email|translation|copywriting,Developer\ProfileVisualizer\ProfileVisualizer.Build.cs
QuadricMeshReduction,Developer,ue5-architecture,quadricmeshreduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshSimplifier\QuadricMeshReduction.Build.cs
S3Client,Developer,ue5-architecture,s3client|unreal|module|client,email|translation|copywriting,Developer\S3Client\S3Client.Build.cs
ScreenShotComparison,Developer,ue5-architecture,screenshotcomparison|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparison\ScreenShotComparison.Build.cs
ScreenShotComparisonTools,Developer,ue5-architecture,screenshotcomparisontools|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparisonTools\ScreenShotComparisonTools.Build.cs
ScriptDisassembler,Developer,ue5-architecture,scriptdisassembler|unreal|module|script,email|translation|copywriting,Developer\ScriptDisassembler\ScriptDisassembler.Build.cs
SessionFrontend,Developer,ue5-architecture,sessionfrontend|unreal|module|session,email|translation|copywriting,Developer\SessionFrontend\SessionFrontend.Build.cs
Settings,Developer,ue5-architecture,settings|unreal|module,email|translation|copywriting,Developer\Settings\Settings.Build.cs
SettingsEditor,Developer,ue5-architecture,settingseditor|unreal|module|settings,email|translation|copywriting,Developer\SettingsEditor\SettingsEditor.Build.cs
ShaderCompilerCommon,Developer,ue5-performance-packaging,shadercompilercommon|render|shader|rhi,email|translation|copywriting,Developer\ShaderCompilerCommon\ShaderCompilerCommon.Build.cs
ShaderFormatD3D,Developer,ue5-performance-packaging,shaderformatd3d|render|shader|rhi,email|translation|copywriting,Developer\Windows\ShaderFormatD3D\ShaderFormatD3D.Build.cs
ShaderFormatOpenGL,Developer,ue5-performance-packaging,shaderformatopengl|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatOpenGL\ShaderFormatOpenGL.Build.cs
ShaderFormatVectorVM,Developer,ue5-performance-packaging,shaderformatvectorvm|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatVectorVM\ShaderFormatVectorVM.Build.cs
ShaderPreprocessor,Developer,ue5-performance-packaging,shaderpreprocessor|render|shader|rhi,email|translation|copywriting,Developer\ShaderPreprocessor\ShaderPreprocessor.Build.cs
SharedSettingsWidgets,Developer,ue5-architecture,sharedsettingswidgets|unreal|module|shared,email|translation|copywriting,Developer\SharedSettingsWidgets\SharedSettingsWidgets.Build.cs
SkeletalMeshUtilitiesCommon,Developer,ue5-cpp-gameplay,skeletalmeshutilitiescommon|animation|skeletal|rig,email|translation|copywriting,Developer\SkeletalMeshUtilitiesCommon\SkeletalMeshUtilitiesCommon.Build.cs
SlackIntegrations,Developer,ue5-architecture,slackintegrations|unreal|module|slack,email|translation|copywriting,Developer\SlackIntegrations\SlackIntegrations.Build.cs
SlateFileDialogs,Developer,ue5-ui-umg-slate,slatefiledialogs|ui|umg|slate,email|translation|copywriting,Developer\SlateFileDialogs\SlateFileDialogs.Build.cs
SlateFontDialog,Developer,ue5-ui-umg-slate,slatefontdialog|ui|umg|slate,email|translation|copywriting,Developer\SlateFontDialog\SlateFontDialog.Build.cs
SlateReflector,Developer,ue5-ui-umg-slate,slatereflector|ui|umg|slate,email|translation|copywriting,Developer\SlateReflector\SlateReflector.Build.cs
SourceCodeAccess,Developer,ue5-architecture,sourcecodeaccess|unreal|module|code,email|translation|copywriting,Developer\SourceCodeAccess\SourceCodeAccess.Build.cs
SourceControl,Developer,ue5-architecture,sourcecontrol|unreal|module|control,email|translation|copywriting,Developer\SourceControl\SourceControl.Build.cs
SourceControlCheckInPrompt,Developer,ue5-architecture,sourcecontrolcheckinprompt|unreal|module|control,email|translation|copywriting,Developer\SourceControlCheckInPrompt\SourceControlCheckInPrompt.Build.cs
SourceControlViewport,Developer,ue5-architecture,sourcecontrolviewport|unreal|module|control,email|translation|copywriting,Developer\SourceControlViewport\SourceControlViewport.Build.cs
StandaloneRenderer,Developer,ue5-performance-packaging,standalonerenderer|render|shader|rhi,email|translation|copywriting,Developer\StandaloneRenderer\StandaloneRenderer.Build.cs
StructUtilsTestSuite,Developer,ue5-architecture,structutilstestsuite|unreal|module|struct,email|translation|copywriting,Developer\StructUtilsTestSuite\StructUtilsTestSuite.Build.cs
TargetDeviceServices,Developer,ue5-architecture,targetdeviceservices|unreal|module|target,email|translation|copywriting,Developer\TargetDeviceServices\TargetDeviceServices.Build.cs
TargetPlatform,Developer,ue5-architecture,targetplatform|unreal|module|target,email|translation|copywriting,Developer\TargetPlatform\TargetPlatform.Build.cs
TextureBuild,Developer,ue5-architecture,texturebuild|unreal|module|texture,email|translation|copywriting,Developer\TextureBuild\TextureBuild.Build.cs
TextureBuildUtilities,Developer,ue5-architecture,texturebuildutilities|unreal|module|texture,email|translation|copywriting,Developer\TextureBuildUtilities\TextureBuildUtilities.Build.cs
TextureCompressor,Developer,ue5-architecture,texturecompressor|unreal|module|texture,email|translation|copywriting,Developer\TextureCompressor\TextureCompressor.Build.cs
TextureFormat,Developer,ue5-architecture,textureformat|unreal|module|texture,email|translation|copywriting,Developer\TextureFormat\TextureFormat.Build.cs
TextureFormatASTC,Developer,ue5-architecture,textureformatastc|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatASTC\TextureFormatASTC.Build.cs
TextureFormatDXT,Developer,ue5-architecture,textureformatdxt|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatDXT\TextureFormatDXT.Build.cs
TextureFormatETC2,Developer,ue5-architecture,textureformatetc2|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatETC2\TextureFormatETC2.Build.cs
TextureFormatIntelISPCTexComp,Developer,ue5-architecture,textureformatintelispctexcomp|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatIntelISPCTexComp\TextureFormatIntelISPCTexComp.Build.cs
TextureFormatUncompressed,Developer,ue5-architecture,textureformatuncompressed|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatUncompressed\TextureFormatUncompressed.Build.cs
ToolMenus,Developer,ue5-architecture,toolmenus|unreal|module|tool,email|translation|copywriting,Developer\ToolMenus\ToolMenus.Build.cs
ToolWidgets,Developer,ue5-architecture,toolwidgets|unreal|module|tool,email|translation|copywriting,Developer\ToolWidgets\ToolWidgets.Build.cs
TraceAnalysis,Developer,ue5-architecture,traceanalysis|unreal|module|trace,email|translation|copywriting,Developer\TraceAnalysis\TraceAnalysis.Build.cs
TraceInsights,Developer,ue5-architecture,traceinsights|unreal|module|trace,email|translation|copywriting,Developer\TraceInsights\TraceInsights.Build.cs
TraceInsightsCore,Developer,ue5-architecture,traceinsightscore|core|engine|uobject,email|translation|copywriting,Developer\TraceInsightsCore\TraceInsightsCore.Build.cs
TraceInsightsFrontend,Developer,ue5-architecture,traceinsightsfrontend|unreal|module|trace,email|translation|copywriting,Developer\TraceInsightsFrontend\TraceInsightsFrontend.Build.cs
TraceServices,Developer,ue5-architecture,traceservices|unreal|module|trace,email|translation|copywriting,Developer\TraceServices\TraceServices.Build.cs
TraceTools,Developer,ue5-architecture,tracetools|unreal|module|trace,email|translation|copywriting,Developer\TraceTools\TraceTools.build.cs
TranslationEditor,Developer,ue5-architecture,translationeditor|unreal|module|translation,email|translation|copywriting,Developer\TranslationEditor\TranslationEditor.Build.cs
TreeMap,Developer,ue5-architecture,treemap|unreal|module|tree,email|translation|copywriting,Developer\TreeMap\TreeMap.Build.cs
TurnkeyIO,Developer,ue5-architecture,turnkeyio|unreal|module|turnkey,email|translation|copywriting,Developer\TurnkeyIO\TurnkeyIO.Build.cs
TVOSTargetPlatform,Developer,ue5-architecture,tvostargetplatform|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatform\TVOSTargetPlatform.Build.cs
TVOSTargetPlatformControls,Developer,ue5-architecture,tvostargetplatformcontrols|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatformControls\TVOSTargetPlatformControls.Build.cs
TVOSTargetPlatformSettings,Developer,ue5-architecture,tvostargetplatformsettings|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatformSettings\TVOSTargetPlatformSettings.Build.cs
UbaCoordinatorHorde,Developer,ue5-architecture,ubacoordinatorhorde|unreal|module|uba,email|translation|copywriting,Developer\UbaCoordinatorHorde\UbaCoordinatorHorde.Build.cs
UncontrolledChangelists,Developer,ue5-architecture,uncontrolledchangelists|unreal|module|uncontrolled,email|translation|copywriting,Developer\UncontrolledChangelists\UncontrolledChangelists.Build.cs
UndoHistory,Developer,ue5-architecture,undohistory|unreal|module|undo,email|translation|copywriting,Developer\UndoHistory\UndoHistory.Build.cs
UnsavedAssetsTracker,Developer,ue5-architecture,unsavedassetstracker|unreal|module|unsaved,email|translation|copywriting,Developer\UnsavedAssetsTracker\Source\UnsavedAssetsTracker.Build.cs
Virtualization,Developer,ue5-architecture,virtualization|unreal|module,email|translation|copywriting,Developer\Virtualization\Virtualization.Build.cs
VisualGraphUtils,Developer,ue5-architecture,visualgraphutils|unreal|module|visual,email|translation|copywriting,Developer\VisualGraphUtils\VisualGraphUtils.Build.cs
VulkanShaderFormat,Developer,ue5-performance-packaging,vulkanshaderformat|render|shader|rhi,email|translation|copywriting,Developer\VulkanShaderFormat\VulkanShaderFormat.Build.cs
WidgetRegistration,Developer,ue5-ui-umg-slate,widgetregistration|ui|umg|slate,email|translation|copywriting,Developer\WidgetRegistration\WidgetRegistration.Build.cs
WindowsPlatformEditor,Developer,ue5-architecture,windowsplatformeditor|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsPlatformEditor\WindowsPlatformEditor.Build.cs
WindowsTargetPlatform,Developer,ue5-architecture,windowstargetplatform|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatform\WindowsTargetPlatform.Build.cs
WindowsTargetPlatformControls,Developer,ue5-architecture,windowstargetplatformcontrols|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatfomControls\WindowsTargetPlatformControls.Build.cs
WindowsTargetPlatformSettings,Developer,ue5-architecture,windowstargetplatformsettings|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatformSettings\WindowsTargetPlatformSettings.Build.cs
Zen,Developer,ue5-architecture,zen|unreal|module,email|translation|copywriting,Developer\Zen\Zen.Build.cs
ActionableMessage,Editor,ue5-architecture,actionablemessage|unreal|module|actionable,email|translation|copywriting,Editor\ActionableMessage\ActionableMessage.build.cs
ActorPickerMode,Editor,ue5-architecture,actorpickermode|unreal|module|actor,email|translation|copywriting,Editor\ActorPickerMode\ActorPickerMode.Build.cs
AddContentDialog,Editor,ue5-architecture,addcontentdialog|unreal|module|add,email|translation|copywriting,Editor\AddContentDialog\AddContentDialog.Build.cs
AdvancedPreviewScene,Editor,ue5-architecture,advancedpreviewscene|unreal|module|advanced,email|translation|copywriting,Editor\AdvancedPreviewScene\AdvancedPreviewScene.Build.cs
AIGraph,Editor,ue5-architecture,aigraph|unreal|module,email|translation|copywriting,Editor\AIGraph\AIGraph.Build.cs
AnimationBlueprintEditor,Editor,ue5-cpp-gameplay,animationblueprinteditor|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationBlueprintEditor\AnimationBlueprintEditor.Build.cs
AnimationBlueprintLibrary,Editor,ue5-cpp-gameplay,animationblueprintlibrary|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationBlueprintLibrary\AnimationBlueprintLibrary.build.cs
AnimationEditMode,Editor,ue5-cpp-gameplay,animationeditmode|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditMode\AnimationEditMode.Build.cs
AnimationEditor,Editor,ue5-cpp-gameplay,animationeditor|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditor\AnimationEditor.Build.cs
AnimationEditorWidgets,Editor,ue5-cpp-gameplay,animationeditorwidgets|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditorWidgets\AnimationEditorWidgets.Build.cs
AnimationModifiers,Editor,ue5-cpp-gameplay,animationmodifiers|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationModifiers\AnimationModifiers.Build.cs
AnimationSettings,Editor,ue5-cpp-gameplay,animationsettings|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationSettings\AnimationSettings.Build.cs
AnimGraph,Editor,ue5-cpp-gameplay,animgraph|animation|skeletal|rig,email|translation|copywriting,Editor\AnimGraph\AnimGraph.Build.cs
