ModuleName,Layer,DomainGuessV2,RelativeBuildCsPath,TriggerKeywords,TargetSkill,SecondarySkill,RouteConfidence,RouteReason
AudioFormatOgg,Developer,Audio,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs,audio|sound|metasound|format|ogg,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AudioFormatOpus,Developer,Audio,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs,audio|sound|metasound|format|opus,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AudioFormatRad,Developer,Audio,Developer\AudioFormatRad\AudioFormatRad.Build.cs,audio|sound|metasound|format|rad,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AudioSettingsEditor,Developer,Audio,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs,audio|sound|metasound|settings,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AutomationController,Developer,General,Developer\AutomationController\AutomationController.Build.cs,unreal|module|automation|controller,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AutomationDriver,Developer,General,Developer\AutomationDriver\AutomationDriver.Build.cs,unreal|module|automation|driver,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AutomationWindow,Developer,General,Developer\AutomationWindow\AutomationWindow.Build.cs,unreal|module|automation|window,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
BlankModule,Developer,General,Developer\BlankModule\BlankModule.Build.cs,unreal|module|blank,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
BSPUtils,Developer,General,Developer\BSPUtils\BSPUtils.Build.cs,unreal|module|bsputils,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ChaosTestHarness,Developer,Physics,Developer\ChaosTestHarness\ChaosTestHarness.Build.cs,physics|chaos|collision|test|harness,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping
CollectionManager,Developer,General,Developer\CollectionManager\CollectionManager.Build.cs,unreal|module|collection|manager,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CollisionAnalyzer,Developer,Physics,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs,physics|chaos|collision|analyzer,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping
CookedEditor,Developer,General,Developer\CookedEditor\CookedEditor.Build.cs,unreal|module|cooked,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CookMetadata,Developer,AssetsBuildPipeline,Developer\CookMetadata\CookMetadata.Build.cs,asset|cook|package|metadata,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
CookOnTheFlyNetServer,Developer,NetworkingOnline,Developer\CookOnTheFlyNetServer\CookOnTheFlyNetServer.Build.cs,network|online|replication|cook|the|fly|net|server,ue5-performance-packaging,ue5-architecture,high,module_override
CQTest,Developer,General,Developer\CQTest\CQTest.Build.cs,unreal|module|cqtest,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CrashDebugHelper,Developer,General,Developer\CrashDebugHelper\CrashDebugHelper.Build.cs,unreal|module|crash|debug|helper,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CSVUtils,Developer,General,Developer\CSVUtils\CSVUtils.build.cs,unreal|module|csvutils,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DatasmithExporter,Developer,General,Developer\Datasmith\DatasmithExporter\DatasmithExporter.Build.cs,unreal|module|datasmith|exporter,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DatasmithExporterUI,Developer,UI,Developer\Datasmith\DatasmithExporterUI\DatasmithExporterUI.Build.cs,ui|umg|slate|datasmith|exporter,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
DatasmithFacade,Developer,General,Developer\Datasmith\DatasmithFacade\DatasmithFacade.Build.cs,unreal|module|datasmith|facade,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DerivedDataCache,Developer,General,Developer\DerivedDataCache\DerivedDataCache.Build.cs,unreal|module|derived|data|cache,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DesktopPlatform,Developer,General,Developer\DesktopPlatform\DesktopPlatform.Build.cs,unreal|module|desktop|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DesktopWidgets,Developer,General,Developer\DesktopWidgets\DesktopWidgets.Build.cs,unreal|module|desktop|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DeveloperToolSettings,Developer,General,Developer\DeveloperToolSettings\DeveloperToolSettings.Build.cs,unreal|module|tool|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DevHttp,Developer,NetworkingOnline,Developer\DevHttp\DevHttp.Build.cs,network|online|replication|dev|http,ue5-save-load-replication,ue5-cpp-gameplay,medium,domain_mapping
DeviceManager,Developer,General,Developer\DeviceManager\DeviceManager.Build.cs,unreal|module|device|manager,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DirectoryWatcher,Developer,General,Developer\DirectoryWatcher\DirectoryWatcher.Build.cs,unreal|module|directory|watcher,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DistributedBuildInterface,Developer,General,Developer\DistributedBuildInterface\DistributedBuildInterface.build.cs,unreal|module|distributed|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DrawPrimitiveDebugger,Developer,General,Developer\DrawPrimitiveDebugger\DrawPrimitiveDebugger.Build.cs,unreal|module|draw|primitive|debugger,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorAnalyticsSession,Developer,General,Developer\EditorAnalyticsSession\EditorAnalyticsSession.Build.cs,unreal|module|analytics|session,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ExternalImagePicker,Developer,General,Developer\ExternalImagePicker\ExternalImagePicker.Build.cs,unreal|module|external|image|picker,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
FileUtilities,Developer,General,Developer\FileUtilities\FileUtilities.Build.cs,unreal|module|file|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
FunctionalTesting,Developer,General,Developer\FunctionalTesting\FunctionalTesting.Build.cs,unreal|module|functional|testing,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
GDKPlatformEditor,Developer,General,Developer\Microsoft\GDKPlatformEditor\GDKPlatformEditor.Build.cs,unreal|module|gdkplatform|microsoft,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
GeometryProcessingInterfaces,Developer,General,Developer\GeometryProcessingInterfaces\GeometryProcessingInterfaces.Build.cs,unreal|module|geometry|processing|interfaces,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
GraphColor,Developer,General,Developer\GraphColor\GraphColor.Build.cs,unreal|module|graph|color,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
HierarchicalLODUtilities,Developer,General,Developer\HierarchicalLODUtilities\HierarchicalLODUtilities.Build.cs,unreal|module|hierarchical|lodutilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
HlslParser,Developer,General,Developer\HlslParser\HlslParser.Build.cs,unreal|module|hlsl|parser,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Horde,Developer,General,Developer\Horde\Horde.Build.cs,unreal|module|horde,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
HotReload,Developer,General,Developer\HotReload\HotReload.Build.cs,unreal|module|hot|reload,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IOSPlatformEditor,Developer,General,Developer\IOS\IOSPlatformEditor\IOSPlatformEditor.Build.cs,unreal|module|iosplatform|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IOSTargetPlatform,Developer,General,Developer\IOS\IOSTargetPlatform\IOSTargetPlatform.Build.cs,unreal|module|iostarget|platform|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IOSTargetPlatformControls,Developer,General,Developer\IOS\IOSTargetPlatformControls\IOSTargetPlatformControls.Build.cs,unreal|module|iostarget|platform|controls|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IOSTargetPlatformSettings,Developer,General,Developer\IOS\IOSTargetPlatformSettings\IOSTargetPlatformSettings.Build.cs,unreal|module|iostarget|platform|settings|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IoStoreOnDemandUtilities,Developer,General,Developer\IoStore\OnDemandUtilities\IoStoreOnDemandUtilities.Build.cs,unreal|module|store|demand|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
IoStoreUtilities,Developer,General,Developer\IoStoreUtilities\IoStoreUtilities.Build.cs,unreal|module|store|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LauncherServices,Developer,General,Developer\LauncherServices\LauncherServices.Build.cs,unreal|module|launcher|services,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LegacyProjectLauncher,Developer,General,Developer\LegacyProjectLauncher\LegacyProjectLauncher.Build.cs,unreal|module|legacy|project|launcher,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxArm64TargetPlatform,Developer,General,Developer\Linux\LinuxArm64TargetPlatform\LinuxArm64TargetPlatform.Build.cs,unreal|module|linux|arm64|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxArm64TargetPlatformControls,Developer,General,Developer\Linux\LinuxArm64TargetPlatformControls\LinuxArm64TargetPlatformControls.Build.cs,unreal|module|linux|arm64|target|platform|controls,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxArm64TargetPlatformSettings,Developer,General,Developer\Linux\LinuxArm64TargetPlatformSettings\LinuxArm64TargetPlatformSettings.Build.cs,unreal|module|linux|arm64|target|platform|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxPlatformEditor,Developer,General,Developer\Linux\LinuxPlatformEditor\LinuxPlatformEditor.Build.cs,unreal|module|linux|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxTargetPlatform,Developer,General,Developer\Linux\LinuxTargetPlatform\LinuxTargetPlatform.Build.cs,unreal|module|linux|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxTargetPlatformControls,Developer,General,Developer\Linux\LinuxTargetPlatformControls\LinuxTargetPlatformControls.Build.cs,unreal|module|linux|target|platform|controls,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LinuxTargetPlatformSettings,Developer,General,Developer\Linux\LinuxTargetPlatformSettings\LinuxTargetPlatformSettings.Build.cs,unreal|module|linux|target|platform|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LiveCoding,Developer,General,Developer\Windows\LiveCoding\LiveCoding.Build.cs,unreal|module|live|coding|windows,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LiveCodingServer,Developer,General,Developer\Windows\LiveCodingServer\LiveCodingServer.Build.cs,unreal|module|live|coding|server|windows,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Localization,Developer,General,Developer\Localization\Localization.Build.cs,unreal|module|localization,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LocalizationService,Developer,General,Developer\LocalizationService\LocalizationService.Build.cs,unreal|module|localization|service,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LogVisualizer,Developer,General,Developer\LogVisualizer\LogVisualizer.Build.cs,unreal|module|log|visualizer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LowLevelTestsRunner,Developer,General,Developer\LowLevelTestsRunner\LowLevelTestsRunner.Build.cs,unreal|module|low|level|tests|runner,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MacPlatformEditor,Developer,General,Developer\Mac\MacPlatformEditor\MacPlatformEditor.Build.cs,unreal|module|mac|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MacTargetPlatform,Developer,General,Developer\Mac\MacTargetPlatform\MacTargetPlatform.Build.cs,unreal|module|mac|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MacTargetPlatformControls,Developer,General,Developer\Mac\MacTargetPlatformControls\MacTargetPlatformControls.Build.cs,unreal|module|mac|target|platform|controls,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MacTargetPlatformSettings,Developer,General,Developer\Mac\MacTargetPlatformSettings\MacTargetPlatformSettings.Build.cs,unreal|module|mac|target|platform|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MassEntityTestSuite,Developer,AI_Mass,Developer\MassEntityTestSuite\MassEntityTestSuite.Build.cs,ai|nav|mass|entity|test|suite,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
MaterialBaking,Developer,Rendering,Developer\MaterialBaking\MaterialBaking.Build.cs,render|shader|rhi|material|baking,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
MaterialUtilities,Developer,Rendering,Developer\MaterialUtilities\MaterialUtilities.Build.cs,render|shader|rhi|material|utilities,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
Merge,Developer,General,Developer\Merge\Merge.Build.cs,unreal|module|merge,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshBoneReduction,Developer,General,Developer\MeshBoneReduction\MeshBoneReduction.Build.cs,unreal|module|mesh|bone|reduction,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshBuilder,Developer,General,Developer\MeshBuilder\MeshBuilder.Build.cs,unreal|module|mesh|builder,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshBuilderCommon,Developer,General,Developer\MeshBuilderCommon\MeshBuilderCommon.Build.cs,unreal|module|mesh|builder|common,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshDescriptionOperations,Developer,General,Developer\MeshDescriptionOperations\MeshDescriptionOperations.Build.cs,unreal|module|mesh|description|operations,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshMergeUtilities,Developer,General,Developer\MeshMergeUtilities\MeshMergeUtilities.Build.cs,unreal|module|mesh|merge|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshReductionInterface,Developer,General,Developer\MeshReductionInterface\MeshReductionInterface.Build.cs,unreal|module|mesh|reduction|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshUtilities,Developer,General,Developer\MeshUtilities\MeshUtilities.Build.cs,unreal|module|mesh|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshUtilitiesEngine,Developer,CoreEngine,Developer\MeshUtilitiesEngine\MeshUtilitiesEngine.Build.cs,core|engine|uobject|mesh|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MessageLog,Developer,General,Developer\MessageLog\MessageLog.Build.cs,unreal|module|message|log,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MetalShaderFormat,Developer,Rendering,Developer\Apple\MetalShaderFormat\MetalShaderFormat.Build.cs,render|shader|rhi|metal|format|apple,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
NaniteBuilder,Developer,Rendering,Developer\NaniteBuilder\NaniteBuilder.Build.cs,render|shader|rhi|nanite|builder,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
NaniteUtilities,Developer,Rendering,Developer\NaniteUtilities\NaniteUtilities.Build.cs,render|shader|rhi|nanite|utilities,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
OutputLog,Developer,General,Developer\OutputLog\OutputLog.Build.cs,unreal|module|output|log,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PakFileUtilities,Developer,General,Developer\PakFileUtilities\PakFileUtilities.Build.cs,unreal|module|pak|file|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PhysicsUtilities,Developer,Physics,Developer\PhysicsUtilities\PhysicsUtilities.Build.cs,physics|chaos|collision|utilities,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping
ProfileVisualizer,Developer,General,Developer\ProfileVisualizer\ProfileVisualizer.Build.cs,unreal|module|profile|visualizer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
QuadricMeshReduction,Developer,General,Developer\MeshSimplifier\QuadricMeshReduction.Build.cs,unreal|module|mesh|quadric|reduction|simplifier,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
S3Client,Developer,General,Developer\S3Client\S3Client.Build.cs,unreal|module|client,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ScreenShotComparison,Developer,General,Developer\ScreenShotComparison\ScreenShotComparison.Build.cs,unreal|module|screen|shot|comparison,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ScreenShotComparisonTools,Developer,General,Developer\ScreenShotComparisonTools\ScreenShotComparisonTools.Build.cs,unreal|module|screen|shot|comparison|tools,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ScriptDisassembler,Developer,General,Developer\ScriptDisassembler\ScriptDisassembler.Build.cs,unreal|module|script|disassembler,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SessionFrontend,Developer,General,Developer\SessionFrontend\SessionFrontend.Build.cs,unreal|module|session|frontend,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Settings,Developer,General,Developer\Settings\Settings.Build.cs,unreal|module|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SettingsEditor,Developer,General,Developer\SettingsEditor\SettingsEditor.Build.cs,unreal|module|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ShaderCompilerCommon,Developer,Rendering,Developer\ShaderCompilerCommon\ShaderCompilerCommon.Build.cs,render|shader|rhi|compiler|common,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ShaderFormatD3D,Developer,Rendering,Developer\Windows\ShaderFormatD3D\ShaderFormatD3D.Build.cs,render|shader|rhi|format|windows,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ShaderFormatOpenGL,Developer,Rendering,Developer\ShaderFormatOpenGL\ShaderFormatOpenGL.Build.cs,render|shader|rhi|format|open,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ShaderFormatVectorVM,Developer,Rendering,Developer\ShaderFormatVectorVM\ShaderFormatVectorVM.Build.cs,render|shader|rhi|format|vector,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ShaderPlatformConfigEditor,Developer,Rendering,Developer\ShaderPlatformConfigEditor\ShaderPlatformConfigEditor.Build.cs,render|shader|rhi|platform|config,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ShaderPreprocessor,Developer,Rendering,Developer\ShaderPreprocessor\ShaderPreprocessor.Build.cs,render|shader|rhi|preprocessor,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
SharedSettingsWidgets,Developer,General,Developer\SharedSettingsWidgets\SharedSettingsWidgets.Build.cs,unreal|module|shared|settings|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SkeletalMeshUtilitiesCommon,Developer,Animation,Developer\SkeletalMeshUtilitiesCommon\SkeletalMeshUtilitiesCommon.Build.cs,animation|skeletal|rig|mesh|utilities|common,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
SlackIntegrations,Developer,General,Developer\SlackIntegrations\SlackIntegrations.Build.cs,unreal|module|slack|integrations,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SlateFileDialogs,Developer,UI,Developer\SlateFileDialogs\SlateFileDialogs.Build.cs,ui|umg|slate|file|dialogs,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
SlateFontDialog,Developer,UI,Developer\SlateFontDialog\SlateFontDialog.Build.cs,ui|umg|slate|font|dialog,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
SlateReflector,Developer,UI,Developer\SlateReflector\SlateReflector.Build.cs,ui|umg|slate|reflector,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
SourceCodeAccess,Developer,General,Developer\SourceCodeAccess\SourceCodeAccess.Build.cs,unreal|module|code|access,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SourceControl,Developer,General,Developer\SourceControl\SourceControl.Build.cs,unreal|module|control,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SourceControlCheckInPrompt,Developer,General,Developer\SourceControlCheckInPrompt\SourceControlCheckInPrompt.Build.cs,unreal|module|control|check|prompt,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SourceControlViewport,Developer,General,Developer\SourceControlViewport\SourceControlViewport.Build.cs,unreal|module|control|viewport,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StandaloneRenderer,Developer,Rendering,Developer\StandaloneRenderer\StandaloneRenderer.Build.cs,render|shader|rhi|standalone|renderer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
StructUtilsTestSuite,Developer,General,Developer\StructUtilsTestSuite\StructUtilsTestSuite.Build.cs,unreal|module|struct|utils|test|suite,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SubmitToolCore,Developer,CoreEngine,Developer\SubmitToolCore\SubmitToolCore.Build.cs,core|engine|uobject|submit|tool,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TargetDeviceServices,Developer,General,Developer\TargetDeviceServices\TargetDeviceServices.Build.cs,unreal|module|target|device|services,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TargetPlatform,Developer,General,Developer\TargetPlatform\TargetPlatform.Build.cs,unreal|module|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureBuild,Developer,General,Developer\TextureBuild\TextureBuild.Build.cs,unreal|module|texture,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureBuildUtilities,Developer,General,Developer\TextureBuildUtilities\TextureBuildUtilities.Build.cs,unreal|module|texture|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureCompressor,Developer,General,Developer\TextureCompressor\TextureCompressor.Build.cs,unreal|module|texture|compressor,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormat,Developer,General,Developer\TextureFormat\TextureFormat.Build.cs,unreal|module|texture|format,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatASTC,Developer,General,Developer\TextureFormatASTC\TextureFormatASTC.Build.cs,unreal|module|texture|format|astc,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatDXT,Developer,General,Developer\TextureFormatDXT\TextureFormatDXT.Build.cs,unreal|module|texture|format|dxt,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatETC2,Developer,General,Developer\TextureFormatETC2\TextureFormatETC2.Build.cs,unreal|module|texture|format|etc2,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatIntelISPCTexComp,Developer,General,Developer\TextureFormatIntelISPCTexComp\TextureFormatIntelISPCTexComp.Build.cs,unreal|module|texture|format|intel|ispctex|comp,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatOodle,Developer,General,Developer\TextureFormatOodle\Source\TextureFormatOodle.Build.cs,unreal|module|texture|format|oodle,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureFormatUncompressed,Developer,General,Developer\TextureFormatUncompressed\TextureFormatUncompressed.Build.cs,unreal|module|texture|format|uncompressed,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ToolMenus,Developer,General,Developer\ToolMenus\ToolMenus.Build.cs,unreal|module|tool|menus,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ToolWidgets,Developer,General,Developer\ToolWidgets\ToolWidgets.Build.cs,unreal|module|tool|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceAnalysis,Developer,General,Developer\TraceAnalysis\TraceAnalysis.Build.cs,unreal|module|trace|analysis,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceInsights,Developer,General,Developer\TraceInsights\TraceInsights.Build.cs,unreal|module|trace|insights,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceInsightsCore,Developer,CoreEngine,Developer\TraceInsightsCore\TraceInsightsCore.Build.cs,core|engine|uobject|trace|insights,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceInsightsFrontend,Developer,General,Developer\TraceInsightsFrontend\TraceInsightsFrontend.Build.cs,unreal|module|trace|insights|frontend,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceServices,Developer,General,Developer\TraceServices\TraceServices.Build.cs,unreal|module|trace|services,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TraceTools,Developer,General,Developer\TraceTools\TraceTools.build.cs,unreal|module|trace|tools,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TranslationEditor,Developer,General,Developer\TranslationEditor\TranslationEditor.Build.cs,unreal|module|translation,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TreeMap,Developer,General,Developer\TreeMap\TreeMap.Build.cs,unreal|module|tree|map,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TurnkeyIO,Developer,General,Developer\TurnkeyIO\TurnkeyIO.Build.cs,unreal|module|turnkey,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TVOSTargetPlatform,Developer,General,Developer\IOS\TVOSTargetPlatform\TVOSTargetPlatform.Build.cs,unreal|module|tvostarget|platform|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TVOSTargetPlatformControls,Developer,General,Developer\IOS\TVOSTargetPlatformControls\TVOSTargetPlatformControls.Build.cs,unreal|module|tvostarget|platform|controls|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TVOSTargetPlatformSettings,Developer,General,Developer\IOS\TVOSTargetPlatformSettings\TVOSTargetPlatformSettings.Build.cs,unreal|module|tvostarget|platform|settings|ios,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
